trial,sc,dc,latency
56,3,1,36842
57,3,1,11090
58,3,1,17528
59,3,1,77986
60,3,1,4874
61,3,1,9018
62,3,1,323
63,3,1,81057
64,3,1,77431
65,3,1,73213
66,3,1,44945
67,3,1,3727
68,3,1,75729
69,3,1,7353
70,3,1,75544
71,3,1,2303
72,3,1,7002
73,3,1,3062
74,3,1,21340
75,3,1,7169
76,3,1,20452
77,3,1,78616
78,3,1,78061
79,3,1,83352
80,3,1,208476
81,3,1,17186
82,3,1,74832
83,3,1,7603
84,3,1,7085
85,3,1,7890
86,3,1,3598
87,3,1,91510
88,3,1,79152
89,3,1,4294964105
90,3,1,4294965529
91,3,1,5892
92,3,1,11886
93,3,1,11442
94,3,1,8519
95,3,1,7261
96,3,1,17991
97,3,1,21376
98,3,1,16751
99,3,1,14568
0,3,2,4846
1,3,2,8435
2,3,2,77699
3,3,2,10470
4,3,2,11562
5,3,2,76238
6,3,2,9934
7,3,2,11969
8,3,2,81825
9,3,2,6456
10,3,2,80974
11,3,2,72538
12,3,2,10489
13,3,2,70392
14,3,2,69245
15,3,2,7122
16,3,2,9009
17,3,2,14337
18,3,2,8787
19,3,2,11081
20,3,2,18851
21,3,2,7825
22,3,2,425
23,3,2,72427
24,3,2,10711
25,3,2,4294965908
26,3,2,7381
27,3,2,73352
28,3,2,78495
29,3,2,72649
30,3,2,143282
31,3,2,34539
32,3,2,10674
33,3,2,7862
34,3,2,138953
35,3,2,6919
36,3,2,73926
37,3,2,77774
38,3,2,76923
39,3,2,6475
40,3,2,76849
41,3,2,81770
42,3,2,1813
43,3,2,2294
44,3,2,12025
45,3,2,81853
46,3,2,81548
47,3,2,72076
48,3,2,83398
49,3,2,74185
50,3,2,6549
51,3,2,78680
52,3,2,75998
53,3,2,3663
54,3,2,5217
55,3,2,82177
56,3,2,75739
57,3,2,81400
58,3,2,73260
59,3,2,80586
60,3,2,76812
61,3,2,74629
62,3,2,74666
63,3,2,72705
64,3,2,8806
65,3,2,10138
66,3,2,72557
67,3,2,81844
68,3,2,740
69,3,2,82251
70,3,2,77108
71,3,2,74259
72,3,2,81548
73,3,2,102416
74,3,2,72890
75,3,2,122100
76,3,2,73667
